"id","Moves_identifier","identifier","power","pp","accuracy","priority","Move_targets_identifier","Move_damage_classes_identifier","short_effect","effect","effect_chance","Move_meta_categories_identifier","Move_meta_ailments_identifier","min_hits","max_hits","min_turns","max_turns","drain","healing","crit_rate","ailment_chance","flinch_chance","stat_chance","flavor_text","stat_id","effectivity","flags","change"
1,"pound","normal","40",35,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is physically pounded with a long tail, a foreleg, or the like.",,,,
2,"karate-chop","fighting","50",25,"100",0,"selected-pokemon","physical","Has an increased chance for a critical hit.","Inflicts [regular damage]{mechanic:regular-damage}.  User's [critical hit]{mechanic:critical-hit} rate is one level higher when using this move.",,"damage","none",,,,,0,0,1,0,0,0,"The target is attacked with a sharp chop. Critical hits land more easily.",,,,
3,"double-slap","normal","15",10,"85",0,"selected-pokemon","physical","Hits 2-5 times in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"damage","none","2","5",,,0,0,0,0,0,0,"The target is slapped repeatedly, back
and forth, two to five times in a row.",,,,
4,"comet-punch","normal","18",15,"85",0,"selected-pokemon","physical","Hits 2-5 times in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"damage","none","2","5",,,0,0,0,0,0,0,"The target is hit with a flurry of punches
that strike two to five times in a row.",,,,
5,"mega-punch","normal","80",20,"85",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is slugged by a punch thrown
with muscle-packed power.",,,,
6,"pay-day","normal","40",20,"100",0,"selected-pokemon","physical","Scatters money on the ground worth five times the user's level.","Inflicts [regular damage]{mechanic:regular-damage}.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",,"damage","none",,,,,0,0,0,0,0,0,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle.",,,,
7,"fire-punch","fire","75",15,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.","10","damage+ailment","burn",,,,,0,0,0,10,0,0,"The target is punched with a fiery fist.
This may also leave the target with a burn.",,,,
8,"ice-punch","ice","75",15,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","10","damage+ailment","freeze",,,,,0,0,0,10,0,0,"The target is punched with an icy fist.
This may also leave the target frozen.",,,,
9,"thunder-punch","electric","75",15,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.","10","damage+ailment","paralysis",,,,,0,0,0,10,0,0,"The target is punched with an electrified
fist. This may also leave the target
with paralysis.",,,,
10,"scratch","normal","40",35,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"Hard, pointed, sharp claws rake
the target to inflict damage.",,,,
11,"vice-grip","normal","55",30,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is gripped and squeezed from
both sides to inflict damage.",,,,
12,"guillotine","normal",,5,"30",0,"selected-pokemon","physical","Causes a one-hit KO.","Inflicts damage equal to the target's max [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This move's [accuracy]{mechanic:accuracy} is 30% plus 1% for each level the user is higher than the target.  If",,"ohko","none",,,,,0,0,0,0,0,0,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits.",,,,
13,"razor-wind","normal","80",10,"100",0,"all-opponents","special","Requires a turn to charge before attacking.","Inflicts [regular damage]{mechanic:regular-damage}.  User's [critical hit]{mechanic:critical-hit} rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by []{move:sleep-talk}.",,"damage","none",,,,,0,0,1,0,0,0,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily.",,,,
14,"swords-dance","normal",,20,,0,"user","status","Raises the user's Attack by two stages.","Raises the user's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"A frenetic dance to uplift the fighting
spirit. This sharply raises the user’s
Attack stat.","2",,,"2"
15,"cut","normal","50",30,"95",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is cut with a scythe or claw.
This can also be used to cut down thin trees.",,,,
16,"gust","flying","40",35,"100",0,"selected-pokemon","special","Inflicts regular damage and can hit Pokémon in the air.","Inflicts [regular damage]{mechanic:regular-damage}.

If the target is under the effect of []{move:bounce}, []{move:fly}, or []{move:sky-drop}, this move will hit with double power.",,"damage","none",,,,,0,0,0,0,0,0,"A gust of wind is whipped up by wings and
launched at the target to inflict damage.",,,,
17,"wing-attack","flying","60",35,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is struck with large, imposing
wings spread wide to inflict damage.",,,,
18,"whirlwind","normal",,20,,-6,"selected-pokemon","status","Immediately ends wild battles.  Forces trainers to switch Pokémon.","[Switch]{mechanic:switch}es the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with []{ability:suction-cups} or under the effect of []{move:ingrain}.",,"force-switch","none",,,,,0,0,0,0,0,0,"The target is blown away, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon.",,,,
19,"fly","flying","90",15,"95",0,"selected-pokemon","physical","User flies high into the air, dodging all attacks, and hits next turn.","Inflicts [regular damage]{mechanic:regular-damage}.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, []{move:gust}, []{move:hurricane}, []{move:sky-uppercut}, []{move:smack-down",,"damage","none",,,,,0,0,0,0,0,0,"The user soars and then strikes
its target on the next turn. This can
also be used to fly to any familiar town.",,,,
20,"bind","normal","15",20,"85",0,"selected-pokemon","physical","Prevents the target from fleeing and inflicts damage for 2-5 turns.","Inflicts [regular damage]{mechanic:regular-damage}.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the [","100","damage+ailment","trap",,,"5","6",0,0,0,100,0,0,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns.",,,,
21,"slam","normal","80",20,"75",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is slammed with a long tail,
vines, or the like to inflict damage.",,,,
22,"vine-whip","grass","45",25,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is struck with slender,
whiplike vines to inflict damage.",,,,
23,"stomp","normal","65",20,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to make the target flinch.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target [flinch]{mechanic:flinch}.

Power is doubled against Pokémon that have used []{move:minimize} since entering the [field]{mechanic:field}.","30","damage","none",,,,,0,0,0,0,30,0,"The target is stomped with a big foot.
This may also make the target flinch.",,,,
24,"double-kick","fighting","30",30,"100",0,"selected-pokemon","physical","Hits twice in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits twice in one turn.",,"damage","none","2","2",,,0,0,0,0,0,0,"The target is quickly kicked twice in
succession using both feet.",,,,
25,"mega-kick","normal","120",5,"75",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is attacked by a kick launched
with muscle-packed power.",,,,
26,"jump-kick","fighting","100",10,"95",0,"selected-pokemon","physical","If the user misses, it takes half the damage it would have inflicted in recoil.","Inflicts [regular damage]{mechanic:regular-damage}.  If this move misses, is blocked by []{move:protect} or []{move:detect}, or has no effect, the user takes half the damage it would have inflicted in recoil.  This recoil damage will not exceed half the u",,"damage","none",,,,,0,0,0,0,0,0,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself.",,,,
27,"rolling-kick","fighting","60",15,"85",0,"selected-pokemon","physical","Has a $effect_chance% chance to make the target flinch.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target []{mechanic:flinch}.","30","damage","none",,,,,0,0,0,0,30,0,"The user lashes out with a quick, spinning
kick. This may also make the target flinch.",,,,
28,"sand-attack","ground",,15,"100",0,"selected-pokemon","status","Lowers the target's accuracy by one stage.","Lowers the target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"Sand is hurled in the target’s face,
reducing the target’s accuracy.","7",,,"-1"
29,"headbutt","normal","70",15,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to make the target flinch.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target []{mechanic:flinch}.","30","damage","none",,,,,0,0,0,0,30,0,"The user sticks out its head and attacks
by charging straight into the target.
This may also make the target flinch.",,,,
30,"horn-attack","normal","65",25,"100",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The target is jabbed with a sharply
pointed horn to inflict damage.",,,,
