"id","identifier","species_id","height","weight","gender_rate","flavor_text"
1,"bulbasaur",1,7,69,1,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
2,"ivysaur",2,10,130,1,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
3,"venusaur",3,20,1000,1,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
4,"charmander",4,6,85,1,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
5,"charmeleon",5,11,190,1,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
6,"charizard",6,17,905,1,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
7,"squirtle",7,5,90,1,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds."
8,"wartortle",8,10,225,1,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
9,"blastoise",9,16,855,1,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
10,"caterpie",10,3,29,4,"Caterpie has a voracious appetite. It can devour leaves
bigger than its body right before your eyes. From its antenna,
this Pokémon releases a terrifically strong odor."
11,"metapod",11,7,99,4,"The shell covering this Pokémon’s body is as hard as an
iron slab. Metapod does not move very much.
It stays still because it is preparing its soft innards for
evolution inside the hard shell."
12,"butterfree",12,11,320,4,"Butterfree has a superior ability to search for delicious honey
from flowers. It can even search out, extract, and carry honey
from flowers that are blooming over six miles from its nest."
13,"weedle",13,3,32,4,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
14,"kakuna",14,6,100,4,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
15,"beedrill",15,10,295,4,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm."
16,"pidgey",16,3,18,4,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
